Name,Type,Show,Date,Location,Confirmed,Link,Micro.blog URL
What is etcd?,Video,IBM Cloud,8/25/2020,,,https://www.youtube.com/watch?v=OmphHSaO1sE,
What is Kafka?,Video,IBM Cloud,9/18/2020,,,https://www.youtube.com/watch?v=aj9CDZm0Glc,
What is API Management?,Video,IBM Cloud,10/8/2020,,,https://www.youtube.com/watch?v=fh3VaXLzH5Y,
What is RabbitMQ?,Video,IBM Cloud,11/10/2020,,,https://www.youtube.com/watch?v=7rkeORD4jSw,
Architecting a Cloud Native API Solution,Video,IBM Cloud,2/18/2021,,,https://www.youtube.com/watch?v=sKfep-UmZeM,
How does Kubernetes create a Pod?,Video,IBM Cloud,4/20/2021,,,https://www.youtube.com/watch?v=BgrQ16r84pM,
What is Event Driven Architecture (EDA)?,Video,IBM Cloud,5/21/2021,,,https://www.youtube.com/watch?v=o2HJCGcYwoU,
Tanzu Tuesdays 67 - Let's talk about SpringOne 2021!,Video,Tanzu Tuesdays,9/15/2021,,,https://www.youtube.com/watch?v=EQMg0DuC1tY,
Tanzu Tuesdays 68 - Azure Functions: a guide to getting started with Layla Porter,Video,Tanzu Tuesdays,9/15/2021,,,https://www.youtube.com/watch?v=EU2mtSSga54,
Mario vs. Steve: What Video Games Can Teach Us about Monitoring vs. Observability,Blog,VMware Tanzu Blog,11/5/2021,,,https://blogs.vmware.com/tanzu/monitoring-vs-observability-cloud-native-systems,
Tanzu Tuesdays 74 - Carvel support in Kubeapps - New pluggable gRPC-based architecture,Video,Tanzu Tuesdays,12/7/2021,,,https://www.youtube.com/watch?v=rS2AhcIPQEs,
Tanzu Tuesdays 77: Leveraging Backstage for the Tanzu Application Platform GUI with Kris Applegate,Video,Tanzu Tuesdays,12/15/2021,,,https://www.youtube.com/watch?v=E4KvQi-kmbg,
Tanzu Tuesdays 82: Building Production Ready Container Images at Scale with Cora Iberkleid,Video,Tanzu Tuesdays,1/25/2022,,,https://www.youtube.com/watch?v=QTmix5yLq9A,
Tanzu Tuesdays 83: Testing with Spring and JUnit 5 with Sam Brannen,Video,Tanzu Tuesdays,2/2/2022,,,https://www.youtube.com/watch?v=krA-A2HqWFQ,
TGI Kubernetes 184: kpack,Guest,TGI Kubernetes,2/5/2022,,,https://www.youtube.com/watch?v=ShE_j4V_2iQ,
Tanzu Tuesdays 84: Tanzu Application Platform Overview and Impressions with Scott Rosenberg,Video,Tanzu Tuesdays,2/9/2022,,,https://www.youtube.com/watch?v=P3cw4omhbjA,
Tanzu Tuesdays 85: Tinkering While Talking Tanzu - Thoughts on Uptime,Video,Tanzu Tuesdays,2/16/2022,,,https://www.youtube.com/watch?v=xDKtryAx0ps,
Dockerfiles vs Cloud Native Buildpacks,Video,⚡️Enlightning,2/17/2022,,,https://www.youtube.com/watch?v=vfhfJ98ApwE,
Tanzu Tuesdays 86: Carvel packaging as a unified package manager for Kubernetes with Scott Rosenberg,Video,Tanzu Tuesdays,2/22/2022,,,https://www.youtube.com/watch?v=FiNK9hxDJTU,
Who Should Use Kubernetes?,Video,⚡️Enlightning,3/1/2022,,,https://www.youtube.com/watch?v=DjNFiEBOrGY,
Tanzu Tuesdays 87: Supply Chain Choreography with Cartographer,Video,Tanzu Tuesdays,3/1/2022,,,https://www.youtube.com/watch?v=Qr-DO0E9R1Y,
Tanzu Tuesdays 79: Secure Production with Spring Authorization Server and SPIFFE/SPIRE w/Joe Grandja,Video,Tanzu Tuesdays,3/2/2022,,,https://www.youtube.com/watch?v=LXyz36bbxMM,
How Do You Structure Learning for Technical Concepts?,Video,⚡️Enlightning,3/4/2022,,,https://www.youtube.com/watch?v=r_SPWqB1l-c,
How Do You Deploy a Stateless Application on Kubernetes?,Video,⚡️Enlightning,3/11/2022,,,https://www.youtube.com/watch?v=UgzIwoxX7Wg,
How Do You Add Persistent Storage to Your Kubernetes Application?,Video,⚡️Enlightning,3/18/2022,,,https://www.youtube.com/watch?v=q9pYsss8huk,
Software Development Superstream: Becoming a Senior Software Engineer,Presentations,O'Reilly,3/23/2022,,,https://www.oreilly.com/live-events/software-development-superstream-becoming-a-senior-software-engineer/0636920068510/0636920068509/,
What Is Knative Serving?,Video,⚡️Enlightning,3/24/2022,,,https://www.youtube.com/watch?v=Z9epsn52M6s,
What Is Knative Eventing?,Video,⚡️Enlightning,4/8/2022,,,https://www.youtube.com/watch?v=eRKR53nOKyA,
Live Diagramming of Knative Core Concepts,Presentations,SpringOne Tour,4/26/2022,,,,
Security For Application Developers,Video,⚡️Enlightning,4/29/2022,,,https://www.youtube.com/watch?v=g1Bmxg4DSug,
Getting Your Code to Production with Cartographer,Video,⚡️Enlightning,5/5/2022,,,https://www.youtube.com/watch?v=RKP3xvWphFg,
Live Diagramming of Knative Core Concepts,Presentations,Devoxx UK,5/18/2022,,,https://youtu.be/a3rIuPatyvs,
Codezillas: The Universal Truths of Building Trust,Presentations,Devoxx UK,5/18/2022,,,https://youtu.be/WTcp8Up09Jo,
"The Past, Present and Future of the Knative Community",Presentation,KubeCon - Knative Day,5/19/2022,,,https://www.youtube.com/watch?v=W5tEOTmHkEQ,
What Is Observability?,Video,⚡️Enlightning,5/23/2022,,,https://www.youtube.com/watch?v=-fCOxnu6FYA,
Codezillas: The Universal Truths of Building Trust,Presentations,NDC Copenhagen,5/29/2022,,,https://youtu.be/6vBj6j6t4ag,
Charting Your Own Course Through the Cloud Native Landscape - Matty Stratton & Whitney Lee,Presentation,Kubecon EU Valencia,6/1/2022,,,https://www.youtube.com/watch?v=dzcij4jDNbs,
Event-Driven Architecture and Real-Time Analytics,Video,⚡️Enlightning,6/9/2022,,,https://www.youtube.com/watch?v=WTZmTcvDAB8,
Codezillas,Presentations,WeAreDevelopers World Congress,6/14/2022,,,,
What Should Application Developers Know about Metrics?,Video,⚡️Enlightning,6/16/2022,,,https://www.youtube.com/watch?v=MFhgCHAUkDw,
HumanOps: Organizing Community Around Technology,Video,⚡️Enlightning,6/24/2022,,,https://www.youtube.com/watch?v=qeW9epuirzU,
Who Should Use Kubernetes?,Presentations,SpringOne Tour,6/28/2022,,,,
There’s More to ‘Infrastructure as Code’ than Code,Video,⚡️Enlightning,7/8/2022,,,https://www.youtube.com/watch?v=X2EcLX_R6QQ,
Who Should Use Kubernetes?,Presentations,SpringOne Tour,7/12/2022,,,,
Crossplane: Control Plane of Control Planes,Video,⚡️Enlightning,7/29/2022,,,https://www.youtube.com/watch?v=CHBA34a0KEQ,
Serverless On Kubernetes - Ask Me Anything,Guest,DevOps Toolkit,7/29/2022,,,https://www.youtube.com/watch?v=Nv1qWibfsSw,
Who Should Use Kubernetes?,Presentations,London Java Community,8/3/2022,,,https://youtu.be/5e8NR9LebWY,
What Is Argo CD?,Video,⚡️Enlightning,8/4/2022,,,https://www.youtube.com/watch?v=fQ9846hRiFo,
What Are Cloud Native Buildpacks and How Do They Work?,Video,⚡️Enlightning,8/12/2022,,,https://www.youtube.com/watch?v=-n9H8KnYjVI,
Now You Git It!,Video,⚡️Enlightning,8/18/2022,,,https://www.youtube.com/watch?v=OedzEb5HVPs,
What Is Tekton?,Video,⚡️Enlightning,8/25/2022,,,https://www.youtube.com/watch?v=7bMwcbRBv2Y,
Knative Overview,Presentations,VMware Explore,8/29/2022,,,,
Charting Your Course Through the Kubernetes Landscape,Presentations,DeveloperWeek Cloud,9/7/2022,,,,
Delivering Your Platform Your Way Using Kratix,Video,⚡️Enlightning,9/9/2022,,,https://www.youtube.com/watch?v=YS8PLrBhUCQ,
Who Should Use Kubernetes?,Presentations,Deserted Island DevOps,9/14/2022,,,https://youtu.be/KgM1rve4N0g,
What the Flux?!  GitOps at Your Fingertips,Video,⚡️Enlightning,9/22/2022,,,https://www.youtube.com/watch?v=_8Zobz7qbqo,
Who Should Use Kubernetes? - Whitney Lee,Presentation,Presentations & Guest Appearances,9/28/2022,,,https://www.youtube.com/watch?v=KgM1rve4N0g,
"Oh Keptn, My Keptn!",Video,⚡️Enlightning,10/14/2022,,,https://www.youtube.com/watch?v=lb5ORMXdI5c,
VMware's Inspirational Women: Spotlight on Whitney Lee,Guest,VMware Open Source Blog,10/20/2022,,,https://blogs.vmware.com/opensource/2022/10/20/inspirational-women-in-open-source-spotlight-on-whitney-lee/,
"Lightning Talk: Tales from the Road: The Questions Being Asked About Knative - Whitney Lee, VMware",Presentation,Kubecon - Knative Day,10/28/2022,,,https://www.youtube.com/watch?v=wJa8XKiYcqI,
Live diagramming of knative core concepts,Presentation,JBCN,11/6/2022,,,https://www.youtube.com/watch?v=1FgAEuyWzNQ,
Empower Your Dev Teams with Virtual Clusters!,Video,⚡️Enlightning,11/11/2022,,,https://www.youtube.com/watch?v=wMmUmjSB6hw,
Keynote: What a RUSH! Let’s Deploy Straight to Production! - Whitney Lee & Mauricio Salatino,Presentation,KubeCon NA Detroit,11/12/2022,,Keynote,https://www.youtube.com/watch?v=eJG7uIU9NpM,
Trauma-Free Incident Management,Video,⚡️Enlightning,11/18/2022,,,https://www.youtube.com/watch?v=cUsoXMFWaww,
Who Should Use Kubernetes?,Presentations,SpringOne Tour,12/4/2022,,,,
What Is OpenTelemetry?,Video,⚡️Enlightning,12/9/2022,,,https://www.youtube.com/watch?v=QUVN0Sr8hF0,
Carvel: Clean Tools for Cloud Native Problems,Video,⚡️Enlightning,1/5/2023,,,https://www.youtube.com/watch?v=gsyGOv_Nwb0,
The world of VMware GemFire,Video,VMware Tanzu YouTube,1/6/2023,,,https://www.youtube.com/watch?v=2XxjirV4ymE,
The Spiders Agree: Knative Makes It Way Easier to Deploy Your App to Kubernetes,Presentations,CodeMash,1/13/2023,,,,
Kubernetes with no YAML and no Dockerfile! How do I get that!?,Podcast,Ship It!,1/14/2023,,,https://www.youtube.com/watch?v=FuZ39CRrzIE,
Own Your Images with Harbor!,Video,⚡️Enlightning,1/20/2023,,,https://www.youtube.com/watch?v=mXwslv2VAbY,
"The Adventure Begins (You Choose! Ch. 1, Ep. 0)",Video,You Choose!,2/2/2023,,,https://www.youtube.com/watch?v=JfXidOXa7As,
What Is cdk8s?,Video,⚡️Enlightning,2/3/2023,,,https://www.youtube.com/watch?v=GCZgLmksJW8,
"Build Container Image - Feat. Carvel kbld, Buildpacks, and Lima (You Choose!, Ch. 1, Ep. 1)",Video,You Choose!,2/9/2023,,,https://www.youtube.com/watch?v=GDInFocQJTU,
You're at the Helm,Video,⚡️Enlightning,2/10/2023,,,https://www.youtube.com/watch?v=oPIiX6vyih8,
"Store Image in a Registry - Feat. Harbor, Docker Hub, and Dragonfly (You Choose!, Ch. 1, Ep. 2)",Video,You Choose!,2/15/2023,,,https://www.youtube.com/watch?v=QP8xGYwevKo,
"Define And Deploy Apps - Feat. Helm, Kustomize, Carvel ytt, and cdk8s (You Choose!, Ch. 1, Ep. 3)",Video,You Choose!,2/22/2023,,,https://www.youtube.com/watch?v=QwU3JmjyKoM,
De-stress Certificates with cert-manager!,Video,⚡️Enlightning,2/24/2023,,,https://www.youtube.com/watch?v=DthwYI46DYo,
"Use HTTPS - Feat. cert-manager (You Choose!, Ch. 1, Ep. 4)",Video,You Choose!,3/1/2023,,,https://www.youtube.com/watch?v=sSbe6qedElE,
Remocal K8s Development FTW: Telepresence 101,Video,⚡️Enlightning,3/3/2023,,,https://www.youtube.com/watch?v=VLABvVtUZvk,
"Setup PostgreSQL DB In The Dev Environment - Feat. Helm And Crossplane (You Choose!, Ch. 1, Ep. 5)",Video,You Choose!,3/8/2023,,,https://www.youtube.com/watch?v=ITBPHJBbjPY,
Building Internal Developer Platforms (IDPs) with Crossplane and Flux | ft. Viktor Farcic,Guest,Containers from the Couch,3/9/2023,,,https://www.youtube.com/watch?v=jIVMJ0NbqtE,
Declarative Database Schema Migrations with SchemaHero,Video,⚡️Enlightning,3/10/2023,,,https://www.youtube.com/watch?v=X0wbq7-VwdI,
Kustomize Demystified,Video,⚡️Enlightning,3/11/2023,,,https://www.youtube.com/watch?v=ZI7rsQ2LLHs,
"Manage DB Schema - Feat. SchemaHero And Liquibase (You Choose!, Ch. 1, Ep. 6)",Video,You Choose!,3/14/2023,,,https://www.youtube.com/watch?v=6YW2__HUHxw,
Self-Service Traffic Management with Emissary-ingress,Video,⚡️Enlightning,3/17/2023,,,https://www.youtube.com/watch?v=XT2NQ4IZwNo,
Develop at Lightning Speed on Kubernetes with DevSpace,Video,⚡️Enlightning,3/18/2023,,,https://www.youtube.com/watch?v=T_NYcuqUCF0,
"Develop Apps - Feat. Telepresence, DevSpace, Nocalhost, And Devfile (You Choose!, Ch. 1, Ep. 7)",Video,You Choose!,3/22/2023,,,https://www.youtube.com/watch?v=YqmLIh31VH0,
"Signed, Sealed, Delivered, I’m Yours! An Introduction to Sigstore",Video,⚡️Enlightning,3/23/2023,,,https://www.youtube.com/watch?v=Q726pjHLsiE,
'Choose Your Own Adventure' with VMware & Upbound at KubeCon + CloudNativeCon 2023,Blog,Upbound Blog,3/26/2023,,,https://blog.upbound.io/choose-adventure-vmware-upbound-kubecon-2023,
"Development Finale - Feat. Everyone (You Choose!, Ch. 1, Ep. 8)",Video,You Choose!,3/29/2023,,,https://www.youtube.com/watch?v=SV1uu4h0vuQ,
What Is Carvel kapp-controller?,Video,⚡️Enlightning,3/30/2023,,,https://www.youtube.com/watch?v=ojFG8h5Ht70,
Software Defined Cloud Dev Environments with the Devfile,Video,⚡️Enlightning,4/1/2023,,,https://www.youtube.com/watch?v=65qbpPW38xs,
Who Should Use Kubernetes?,Presentation,SpringOne,4/12/2023,,,https://www.youtube.com/watch?v=ed5zYmf-hYw,
DevOps Speakeasy with Whitney Lee @wiggitywhitney,Guest,DevOps Speakeasy,4/13/2023,,,https://www.youtube.com/watch?v=kHNp3MtC7XQ,
Embark on a Journey with KubeVela: A Modern Application Delivery Platform,Video,⚡️Enlightning,4/14/2023,,,https://www.youtube.com/watch?v=zZQsZk365wU,
DOP 208: KubeCon EU 2023 Review,Guest,DevOps Paradox,4/26/2023,,,https://www.youtube.com/watch?v=fY4cfKjY1nU,
Choose Your Own Adventure: The Treacherous Trek to Development - Whitney Lee & Viktor Farcic,Presentation,KubeCon EU Amsterdam,5/1/2023,,,https://www.youtube.com/watch?v=gZdEvlW-XHY,
What Is Cluster API?,Video,⚡️Enlightning,5/11/2023,,,https://www.youtube.com/watch?v=SWj_DmiUvbc,
“You Choose” Chapter 1 Recap  with Whitney Lee! | Ep 75 | #womensincloudnative,Guest,Cloud Native Podcast,5/11/2023,,,https://www.youtube.com/watch?v=pymXq0SDaA4,
How To Fight Misconfiguration & Bad Intentions With K8s Validating Admission Policy & Crossplane,Presentation,Cloud Native Rejekts,5/11/2023,,,https://www.youtube.com/watch?v=B8f_b8pkBGw,
Devnexus 2023 - Live Diagramming of Knative - Core Concepts - Whitney Lee,Presentation,Devnexus,5/15/2023,,,https://www.youtube.com/watch?v=zoAG1oatOS0,
What Is ingress-nginx?,Video,⚡️Enlightning,5/18/2023,,,https://www.youtube.com/watch?v=ly_zzKR_alA,
Implementing Ingress with Contour,Video,⚡️Enlightning,5/19/2023,,,https://www.youtube.com/watch?v=zFx7gdM7xpQ,
Amusement Parks and Shipping Ports: CNCF Ambassadors Tell All,Guest,VMware Open Source Blog,5/24/2023,,,https://blogs.vmware.com/opensource/2023/05/24/amusement-parks-and-shipping-ports-cncf-ambassadors-tell-all/,
Cloud Native Live: What's new in Kyverno!,Video,Cloud Native Live,6/1/2023,,,https://www.youtube.com/watch?v=cGE7HAhwNcY,
Open Policy Agent and Rego - the Policy Power Duo!,Video,⚡️Enlightning,6/2/2023,,,https://www.youtube.com/watch?v=QNX5JfV390c,
No-Code Policy with Kyverno,Video,⚡️Enlightning,6/3/2023,,,https://www.youtube.com/watch?v=ytB_PVCMX9s,
KubeCon EU 2023,Guest,Kubernetes Podcast,6/6/2023,,,https://kubernetespodcast.com/episode/202-kubecon-eu-2023/,
What Is Gateway API?,Video,⚡️Enlightning,6/8/2023,,,https://www.youtube.com/watch?v=G_5tRFY6N_k,
Armoring up Your Workloads with KubeArmor,Video,⚡️Enlightning,6/10/2023,,,https://www.youtube.com/watch?v=fHSw-CuYgoY,
"Kubewarden, the Universal Policy Framework",Video,⚡️Enlightning,6/15/2023,,,https://www.youtube.com/watch?v=HFyLICfbhy8,
"Playing ""Guess Who?"" – Detecting Threats With Falco",Video,⚡️Enlightning,6/17/2023,,,https://www.youtube.com/watch?v=ojcMrXiid-I,
Choose Your Own Adventure: The Treacherous Trek to Production,Presentations,DevOps Days Amsterdam,6/21/2023,,,,
Devopsdays Amsterdam 2023 - Day 1,Guest,DevOps Days Amsterdam,6/22/2023,,,https://www.youtube.com/live/g3WE2FCCskQ?t=11261s,
What Is ValidatingAdmissionPolicy in Kubernetes?,Video,⚡️Enlightning,6/29/2023,,,https://www.youtube.com/watch?v=tZGjr2Kwpls,
The Treacherous Trek to Development • Whitney Lee & Viktor Farcic • GOTO 2023,Presentation,GOTO,6/29/2023,,,https://www.youtube.com/watch?v=vsW8TFjNbpE,
Cloud Native Live: IaC Migration using AI,Video,Cloud Native Live,6/29/2023,,,https://www.youtube.com/watch?v=udoLHw97QL0,
"Schrodinger's Schedule, Whitney Lee",Guest,Productivity Alchemy,6/29/2023,,,https://productivityalchemy.com/2023/06/29/episode-305-schrodingers-schedule-whitney-lee/,
Exploring External Secrets Operator,Video,⚡️Enlightning,6/30/2023,,,https://www.youtube.com/watch?v=kK4hwXisW8g,
"The Adventure  Continues Towards Production (You Choose! Ch. 2, Ep. 0)",Video,You Choose!,7/12/2023,,,https://www.youtube.com/watch?v=KyRTsyQuOMY,
CNL: Streamline service mesh observability with Kuma & OpenTelemetry,Video,Cloud Native Live,7/13/2023,,,https://www.youtube.com/watch?v=PLq0It3oRMM,
Cloud Custodian: Governance as Code That Developers Love,Video,⚡️Enlightning,7/15/2023,,,https://www.youtube.com/watch?v=61m5uH_FPtY,
"Provision a Production Cluster - Feat. Crossplane And Cluster API (You Choose!, Ch. 2, Ep. 1)",Video,You Choose!,7/19/2023,,,https://www.youtube.com/watch?v=lzBWIhYC5_E,
CNL: Falco - A peek into the people and the latest features,Video,Cloud Native Live,7/19/2023,,,https://www.youtube.com/watch?v=QzDRDgYQNJs,
Cloud Native Live: Gateway API Plugin for Argo Rollouts 🐙,Video,Cloud Native Live,7/20/2023,,,https://www.youtube.com/watch?v=yRrC4HX__9A,
"GitOps - Feat. Flux, Argo CD, and kapp-controller (You Choose!, Ch. 2, Ep. 2)",Video,You Choose!,7/26/2023,,,https://www.youtube.com/watch?v=4tRYJ0mZf5A,
Cloud Native Live: Policy based governance for Internal Developer platforms,Video,Cloud Native Live,7/27/2023,,,https://www.youtube.com/watch?v=jK2DvieOFjs,
"Ingress - Feat. Contour, NGINX Ingress, and Emissary-ingress (You Choose!, Ch. 2, Ep. 3)",Video,You Choose!,8/2/2023,,,https://www.youtube.com/watch?v=aAyRJy4Gzag,
Keeping Secrets Secret: Secrets Store CSI Driver,Video,⚡️Enlightning,8/4/2023,,,https://www.youtube.com/watch?v=Fn9VLfw5AhE,
"Deploy to Production & Database Implementation (You Choose!, Ch. 2, Ep. 4)",Video,You Choose!,8/9/2023,,,https://www.youtube.com/watch?v=Hw8sSBO3YhI,
CNL: Supercharge Your Infrastructure Management with OPA,Video,Cloud Native Live,8/9/2023,,,https://www.youtube.com/watch?v=KdIw9DzA1Uo,
VMware Explore Keynote,Presentations,VMware Explore,8/21/2023,,Keynote,,
Developer Experience Is Everything,Guest,Open at Intel,8/30/2023,,,https://openatintel.podbean.com/e/developer-experience-is-everything/,
Ensuring Software Authenticity: Introduction to Notary Project,Video,⚡️Enlightning,8/31/2023,,,https://www.youtube.com/watch?v=GaCAiwb3Mhw,
Cloud Native Live: K8s all the things!,Video,Cloud Native Live,8/31/2023,,,https://www.youtube.com/watch?v=Ki1J2pxAHdQ,
What a RUSH! Let's Deploy Straight to Production!,Presentations,O'Reilly,9/6/2023,,,https://www.oreilly.com/videos/infrastructure-and-ops/0636920942801/0636920942801-video348988/,
Kubernetes Networking,Video,⚡️Enlightning,9/7/2023,,,https://www.youtube.com/watch?v=3G3BNMTx3bE,
The Power of Traces: Why OpenTelemetry Embraced Trace-Based Testing,Video,Cloud Native Live,9/13/2023,,,https://www.youtube.com/watch?v=2MSDy3XHjtE,
Cloud Native Live: Get more with multi-arch clouds,Video,Cloud Native Live,9/21/2023,,,https://www.youtube.com/watch?v=y_NjFSPmiqs,
An Overview of Authority to Operate (ATO) and Compliance,Video,VMware Tanzu YouTube,9/27/2023,,,https://www.youtube.com/watch?v=elQwuo3m7u4,
What The Heck Is Ingress?,Guest,Kubernetes Unpacked,10/5/2023,,,https://packetpushers.net/podcasts/kubernetes-unpacked/KU036-what-the-heck-is-ingress/,
Linkerd: The Stress-Free Service Mesh,Video,⚡️Enlightning,10/6/2023,,,https://www.youtube.com/watch?v=iCvw3YFNw0E,
Cloud Native Live: Architect Your Sched,Video,Cloud Native Live,10/6/2023,,,https://www.youtube.com/watch?v=60Fm2KXTtAs,
Learn Service Mesh With Kuma,Video,⚡️Enlightning,10/12/2023,,,https://www.youtube.com/watch?v=PnD_PHfoN_o,
Open Source Connect  Bangladesh : Session 8 with Whitney Lee,Guest,Open Source Connect Bangladesh,10/12/2023,,,https://www.youtube.com/watch?v=Rbm9dDpUO_k,
Whitney Lee,Guest,Kube Cuddle,10/16/2023,,,https://share.transistor.fm/s/f7af1085,
Keynote: Choose Your Own Adventure: The Perilous Passage to Production - Whitney Lee & Viktor Farcic,Presentation,KubeCon China Shanghai,10/17/2023,,Keynote,https://www.youtube.com/watch?v=RMTgMKpsAws,
