Name,Type,Show,Date,Location,Confirmed,Link,Micro.blog URL
Cloud Native Live: What's new in Kyverno!,Video,Cloud Native Live,6/1/2023,,,https://www.youtube.com/watch?v=cGE7HAhwNcY,
Cloud Native Live: IaC Migration using AI,Video,Cloud Native Live,6/29/2023,,,https://www.youtube.com/watch?v=udoLHw97QL0,
CNL: Streamline service mesh observability with Kuma & OpenTelemetry,Video,Cloud Native Live,7/13/2023,,,https://www.youtube.com/watch?v=PLq0It3oRMM,
CNL: Falco - A peek into the people and the latest features,Video,Cloud Native Live,7/19/2023,,,https://www.youtube.com/watch?v=QzDRDgYQNJs,
Cloud Native Live: Gateway API Plugin for Argo Rollouts 🐙,Video,Cloud Native Live,7/20/2023,,,https://www.youtube.com/watch?v=yRrC4HX__9A,
Cloud Native Live: Policy based governance for Internal Developer platforms,Video,Cloud Native Live,7/27/2023,,,https://www.youtube.com/watch?v=jK2DvieOFjs,
CNL: Supercharge Your Infrastructure Management with OPA,Video,Cloud Native Live,8/9/2023,,,https://www.youtube.com/watch?v=KdIw9DzA1Uo,
Cloud Native Live: K8s all the things!,Video,Cloud Native Live,8/31/2023,,,https://www.youtube.com/watch?v=Ki1J2pxAHdQ,
The Power of Traces: Why OpenTelemetry Embraced Trace-Based Testing,Video,Cloud Native Live,9/13/2023,,,https://www.youtube.com/watch?v=2MSDy3XHjtE,
Cloud Native Live: Get more with multi-arch clouds,Video,Cloud Native Live,9/21/2023,,,https://www.youtube.com/watch?v=y_NjFSPmiqs,
Cloud Native Live: Architect Your Sched,Video,Cloud Native Live,10/6/2023,,,https://www.youtube.com/watch?v=60Fm2KXTtAs,
CNL: Dive into Kubernetes testing techniques with KUTTL & Crossplane,Video,Cloud Native Live,10/19/2023,,,https://www.youtube.com/watch?v=8pu36207KuA,
Cloud Native Live: 2-node HA for edge Kubernetes — a new approach,Video,Cloud Native Live,11/2/2023,,,https://www.youtube.com/watch?v=HycGtLjlikI,
CNL: Cloud native application threat modeling & adversary emulation,Video,Cloud Native Live,11/30/2023,,,https://www.youtube.com/watch?v=wy43lUbDjAk,
