Name,Type,Show,Date,Location,Confirmed,Link,Micro.blog URL
Cloud Native Live: What's new in Kyverno!,Video,Cloud Native Live,6/1/2023,,,https://www.youtube.com/watch?v=cGE7HAhwNcY,
Cloud Native Live: IaC Migration using AI,Video,Cloud Native Live,6/29/2023,,,https://www.youtube.com/watch?v=udoLHw97QL0,
CNL: Streamline service mesh observability with Kuma & OpenTelemetry,Video,Cloud Native Live,7/13/2023,,,https://www.youtube.com/watch?v=PLq0It3oRMM,
CNL: Falco - A peek into the people and the latest features,Video,Cloud Native Live,7/19/2023,,,https://www.youtube.com/watch?v=QzDRDgYQNJs,
Cloud Native Live: Gateway API Plugin for Argo Rollouts 🐙,Video,Cloud Native Live,7/20/2023,,,https://www.youtube.com/watch?v=yRrC4HX__9A,
Cloud Native Live: Policy based governance for Internal Developer platforms,Video,Cloud Native Live,7/27/2023,,,https://www.youtube.com/watch?v=jK2DvieOFjs,
CNL: Supercharge Your Infrastructure Management with OPA,Video,Cloud Native Live,8/9/2023,,,https://www.youtube.com/watch?v=KdIw9DzA1Uo,
Cloud Native Live: K8s all the things!,Video,Cloud Native Live,8/31/2023,,,https://www.youtube.com/watch?v=Ki1J2pxAHdQ,
The Power of Traces: Why OpenTelemetry Embraced Trace-Based Testing,Video,Cloud Native Live,9/13/2023,,,https://www.youtube.com/watch?v=2MSDy3XHjtE,
Cloud Native Live: Get more with multi-arch clouds,Video,Cloud Native Live,9/21/2023,,,https://www.youtube.com/watch?v=y_NjFSPmiqs,
Cloud Native Live: Architect Your Sched,Video,Cloud Native Live,10/6/2023,,,https://www.youtube.com/watch?v=60Fm2KXTtAs,
CNL: Dive into Kubernetes testing techniques with KUTTL & Crossplane,Video,Cloud Native Live,10/19/2023,,,https://www.youtube.com/watch?v=8pu36207KuA,
Cloud Native Live: 2-node HA for edge Kubernetes — a new approach,Video,Cloud Native Live,11/2/2023,,,https://www.youtube.com/watch?v=HycGtLjlikI,
CNL: Cloud native application threat modeling & adversary emulation,Video,Cloud Native Live,11/30/2023,,,https://www.youtube.com/watch?v=wy43lUbDjAk,
CNL: Drive AppSec & developer autonomy in the internal developer portal,Video,Cloud Native Live,1/24/2024,,,https://www.youtube.com/watch?v=RTuP8fJnNEE,
Cloud Native Live: Securing the secrets manager with KubeArmor,Video,Cloud Native Live,1/25/2024,,,https://www.youtube.com/watch?v=qLK2Kd4L1Jg,
CNL: Enable Developer Self-Service with Seal Walrus & OpenTofu,Video,Cloud Native Live,1/31/2024,,,https://www.youtube.com/watch?v=zpDOUzR3EWo,
Beyond Kubernetes with Linkerd 2.15 and SPIFFE,Video,Cloud Native Live,2/1/2024,,,https://www.youtube.com/watch?v=G1QVXZiMGw4,
Cloud Native Live: Falcosidekick,Video,Cloud Native Live,2/21/2024,,,https://www.youtube.com/watch?v=1ewRLb4cack,
Cloud Native Live: How to design Database-as-a-Service (DBaaS)?,Video,Cloud Native Live,3/1/2024,,,https://www.youtube.com/watch?v=BpvBuPRqX1w,
CNL: Tetragon in action - detect & nip Kubernetes attacks in the bud,Video,Cloud Native Live,4/25/2024,,,https://www.youtube.com/watch?v=ji8uo69O8-I,
Cloud Native Live: Cloud Native Policy as code with Kyverno!,Video,Cloud Native Live,5/15/2024,,,https://www.youtube.com/watch?v=McNNejbyDc0,
Cloud Native Live: Finding infrastructure as code missteps,Video,Cloud Native Live,5/22/2024,,,https://www.youtube.com/watch?v=NA24C5ZqFlo,
Cloud Native Live: AI across devices,Video,Cloud Native Live,6/5/2024,,,https://www.youtube.com/watch?v=-KhK-TtiWHs,
CNL: Intent-based access control at scale,Video,Cloud Native Live,6/26/2024,,,https://www.youtube.com/watch?v=3NS7S8qBnYs,
Cloud Native Live: Dumbing down developer platform consoles,Video,Cloud Native Live,7/10/2024,,,https://www.youtube.com/watch?v=nD2LUZLPQKY,
"CNL: Wasm across Any Cloud, Any K8s, or Any Edge with CNCF wasmCloud",Video,Cloud Native Live,8/15/2024,,,https://www.youtube.com/watch?v=B1Q_Xx5i6Ek,
Cloud Native Live: Envoy Gateway 1.1 - Q&A Session,Video,Cloud Native Live,9/5/2024,,,https://www.youtube.com/watch?v=K8-Ykp1CYmw,
Cloud Native Live: Kyverno policy reporter,Video,Cloud Native Live,9/19/2024,,,https://www.youtube.com/watch?v=OgFFYKkpEjs,
Cloud Native Live: The future of open source DBaaS,Video,Cloud Native Live,9/27/2024,,,https://www.youtube.com/watch?v=Q0cChN4mME8,
Cloud Native Live: Beyond the black box,Video,Cloud Native Live,10/24/2024,,,https://www.youtube.com/watch?v=CZ8nj2_bzR8,
Cloud Native Live: What's new in Kyverno 1.13?,Video,Cloud Native Live,10/31/2024,,,https://www.youtube.com/watch?v=5iCOoLWMRzE,
Cloud Native Live: Talos Linux for Kubernetes,Video,Cloud Native Live,3/6/2025,,,https://www.youtube.com/watch?v=9H5mihhi7UM,
Cloud Native Live: Using Cilium to enforce gRPC-aware security policies,Video,Cloud Native Live,4/30/2025,,,https://www.youtube.com/watch?v=00b1KN3141k,
