Name,Type,Show,Date,Location,Confirmed,Link,Micro.blog URL
ϟ Enlightning: Dockerfiles vs Cloud Native Buildpacks ϟ,Video,⚡️Enlightning,2/17/2022,,,https://www.youtube.com/watch?v=vfhfJ98ApwE,
ϟ Enlightning: Who Should Use Kubernetes?,Video,⚡️Enlightning,3/1/2022,,,https://www.youtube.com/watch?v=DjNFiEBOrGY,
ϟ Enlightning: How Do You Structure Learning for Technical Concepts?,Video,⚡️Enlightning,3/4/2022,,,https://www.youtube.com/watch?v=r_SPWqB1l-c,
ϟ Enlightning: How Do You Deploy a Stateless Application on Kubernetes?,Video,⚡️Enlightning,3/11/2022,,,https://www.youtube.com/watch?v=UgzIwoxX7Wg,
ϟ Enlightning: How Do You Add Persistent Storage to Your Kubernetes Application?,Video,⚡️Enlightning,3/18/2022,,,https://www.youtube.com/watch?v=q9pYsss8huk,
ϟ Enlightning: What Is Knative Serving?,Video,⚡️Enlightning,3/24/2022,,,https://www.youtube.com/watch?v=Z9epsn52M6s,
ϟ Enlightning: What Is Knative Eventing?,Video,⚡️Enlightning,4/8/2022,,,https://www.youtube.com/watch?v=eRKR53nOKyA,
ϟ Enlightning: Security For Application Developers,Video,⚡️Enlightning,4/29/2022,,,https://www.youtube.com/watch?v=g1Bmxg4DSug,
ϟ Enlightning: Getting Your Code to Production with Cartographer,Video,⚡️Enlightning,5/5/2022,,,https://www.youtube.com/watch?v=RKP3xvWphFg,
ϟ Enlightning: What Is Observability?,Video,⚡️Enlightning,5/23/2022,,,https://www.youtube.com/watch?v=-fCOxnu6FYA,
ϟ Enlightning: Event-Driven Architecture and Real-Time Analytics,Video,⚡️Enlightning,6/9/2022,,,https://www.youtube.com/watch?v=WTZmTcvDAB8,
ϟ Enlightning: What Should Application Developers Know about Metrics?,Video,⚡️Enlightning,6/16/2022,,,https://www.youtube.com/watch?v=MFhgCHAUkDw,
ϟ Enlightning: HumanOps: Organizing Community Around Technology,Video,⚡️Enlightning,6/24/2022,,,https://www.youtube.com/watch?v=qeW9epuirzU,
ϟ Enlightning: There’s More to ‘Infrastructure as Code’ than Code,Video,⚡️Enlightning,7/8/2022,,,https://www.youtube.com/watch?v=X2EcLX_R6QQ,
ϟ Enlightning - Crossplane: Control Plane of Control Planes,Video,⚡️Enlightning,7/29/2022,,,https://www.youtube.com/watch?v=CHBA34a0KEQ,
⚡️ Enlightning - What Is Argo CD?,Video,⚡️Enlightning,8/4/2022,,,https://www.youtube.com/watch?v=fQ9846hRiFo,
⚡️ Enlightning - What Are Cloud Native Buildpacks and How Do They Work?,Video,⚡️Enlightning,8/12/2022,,,https://www.youtube.com/watch?v=-n9H8KnYjVI,
⚡️ Enlightning - Now You Git It!,Video,⚡️Enlightning,8/18/2022,,,https://www.youtube.com/watch?v=OedzEb5HVPs,
⚡️ Enlightning - What Is Tekton?,Video,⚡️Enlightning,8/25/2022,,,https://www.youtube.com/watch?v=7bMwcbRBv2Y,
⚡️ Enlightning - Delivering Your Platform Your Way Using Kratix,Video,⚡️Enlightning,9/9/2022,,,https://www.youtube.com/watch?v=YS8PLrBhUCQ,
⚡️ Enlightning - What the Flux?!  GitOps at Your Fingertips,Video,⚡️Enlightning,9/22/2022,,,https://www.youtube.com/watch?v=_8Zobz7qbqo,
"⚡️ Enlightning - Oh Keptn, My Keptn!",Video,⚡️Enlightning,10/14/2022,,,https://www.youtube.com/watch?v=lb5ORMXdI5c,
⚡️ Enlightning - Empower Your Dev Teams with Virtual Clusters!,Video,⚡️Enlightning,11/11/2022,,,https://www.youtube.com/watch?v=wMmUmjSB6hw,
⚡️ Enlightning - Trauma-Free Incident Management,Video,⚡️Enlightning,11/18/2022,,,https://www.youtube.com/watch?v=cUsoXMFWaww,
