Name,Type,Show,Date,Location,Confirmed,Link,Micro.blog URL
TGI Kubernetes 184: kpack,Guest,TGI Kubernetes,2/5/2022,,,https://www.youtube.com/watch?v=ShE_j4V_2iQ,
"The Past, Present and Future of the Knative Community",Presentation,KubeCon - Knative Day,5/19/2022,,,https://www.youtube.com/watch?v=W5tEOTmHkEQ,
Charting Your Own Course Through the Cloud Native Landscape - Matty Stratton & Whitney Lee,Presentation,Kubecon EU Valencia,6/1/2022,,,https://www.youtube.com/watch?v=dzcij4jDNbs,
Serverless On Kubernetes - Ask Me Anything,Guest,DevOps Toolkit,7/29/2022,,,https://www.youtube.com/watch?v=Nv1qWibfsSw,
Who Should Use Kubernetes?,Presentation,Presentations & Guest Appearances,9/28/2022,,,https://www.youtube.com/watch?v=KgM1rve4N0g,
"Lightning Talk: Tales from the Road: The Questions Being Asked About Knative - Whitney Lee, VMware",Presentation,Kubecon - Knative Day,10/28/2022,,,https://www.youtube.com/watch?v=wJa8XKiYcqI,
Live diagramming of knative core concepts,Presentation,JBCN,11/6/2022,,,https://www.youtube.com/watch?v=1FgAEuyWzNQ,
What a RUSH! Let’s Deploy Straight to Production! - Whitney Lee & Mauricio Salatino,Presentation,KubeCon NA Detroit,11/12/2022,,Keynote,https://www.youtube.com/watch?v=eJG7uIU9NpM,
Kubernetes with no YAML and no Dockerfile! How do I get that!?,Podcast,Ship It!,1/14/2023,,,https://www.youtube.com/watch?v=FuZ39CRrzIE,
Building Internal Developer Platforms (IDPs) with Crossplane and Flux | ft. Viktor Farcic,Guest,Containers from the Couch,3/9/2023,,,https://www.youtube.com/watch?v=jIVMJ0NbqtE,
Who Should Use Kubernetes?,Presentation,SpringOne,4/12/2023,,,https://www.youtube.com/watch?v=ed5zYmf-hYw,
DevOps Speakeasy with Whitney Lee @wiggitywhitney,Guest,DevOps Speakeasy,4/13/2023,,,https://www.youtube.com/watch?v=kHNp3MtC7XQ,
DOP 208: KubeCon EU 2023 Review,Guest,DevOps Paradox,4/26/2023,,,https://www.youtube.com/watch?v=fY4cfKjY1nU,
Choose Your Own Adventure: The Treacherous Trek to Development - Whitney Lee & Viktor Farcic,Presentation,KubeCon EU Amsterdam,5/1/2023,,,https://www.youtube.com/watch?v=gZdEvlW-XHY,
“You Choose” Chapter 1 Recap  with Whitney Lee! | Ep 75 | #womensincloudnative,Guest,Cloud Native Podcast,5/11/2023,,,https://www.youtube.com/watch?v=pymXq0SDaA4,
How To Fight Misconfiguration & Bad Intentions With K8s Validating Admission Policy & Crossplane,Presentation,Cloud Native Rejekts,5/11/2023,,,https://www.youtube.com/watch?v=B8f_b8pkBGw,
Live Diagramming of Knative Core Concepts,Presentation,Devnexus,5/15/2023,,,https://www.youtube.com/watch?v=zoAG1oatOS0,
The Treacherous Trek to Development • Whitney Lee & Viktor Farcic • GOTO 2023,Presentation,GOTO,6/29/2023,,,https://www.youtube.com/watch?v=vsW8TFjNbpE,
An Overview of Authority to Operate (ATO) and Compliance,Video,VMware Tanzu YouTube,9/27/2023,,,https://www.youtube.com/watch?v=elQwuo3m7u4,
Open Source Connect Bangladesh: Session 8 with Whitney Lee,Guest,Open Source Connect Bangladesh,10/12/2023,,,https://www.youtube.com/watch?v=Rbm9dDpUO_k,
Choose Your Own Adventure: The Perilous Passage to Production - Whitney Lee & Viktor Farcic,Presentation,KubeCon China Shanghai,10/17/2023,,Keynote,https://www.youtube.com/watch?v=RMTgMKpsAws,
What a Rush! Let's Deploy Straight to Production,Presentation,SpringOne,10/27/2023,,,https://www.youtube.com/watch?v=quBo0P5K7OA,
"Lightning Talk: Secret Word of the Day: Platforms! - Whitney Lee, VMware",Presentation,KubeCon - AppDevCon,11/13/2023,,,https://www.youtube.com/watch?v=HsOnpRfMa4U,
DOP 237: KubeCon North America 2023 Review,Guest,DevOps Paradox,11/15/2023,,,https://www.youtube.com/watch?v=0kzKMoJSdMc,
Security Showdown: The Overconfident Operator Vs the Nefarious N... Whitney Lee & Lewis Denham-Parry,Presentation,KubeCon NA Chicago,11/22/2023,,,https://www.youtube.com/watch?v=Y1rJY_UlLmM,
Humans of Cloud Native Panel – Finding Your Way in #TeamCloudNative,Presentation,KubeCon NA Chicago,11/22/2023,,,https://www.youtube.com/watch?v=cMwjUbDh4Ig,
Choose Your Own Adventure: The Perilous Passage to Production,Presentation,Cloud Native Rejekts,12/11/2023,,,https://www.youtube.com/watch?v=3P33bFK87gw,
DOP 241: From Restaurant Server to KubeCon Keynote in Under 4 Years,Guest,DevOps Paradox,12/13/2023,,,https://www.youtube.com/watch?v=M03vEbm99Uo,
Breaking Minecraft & Mastering Kubernetes with Tanzu Developer Advocate Whitney Lee | TechCraft,Guest,Tech Craft,3/16/2024,,,https://www.youtube.com/watch?v=7klehZbC82s,
"Sometimes, Lipstick Is Exactly What a Pig Needs! - Abby Bangser, Syntasso & Whitney Lee, VMware",Presentation,KubeCon - Platform Engineering Day,3/20/2024,,Keynote,https://www.youtube.com/watch?v=VhloarnpxVo,
"Choose Your Own Adventure: The Struggle for Security - Whitney Lee, VMware & Viktor Farcic, Upbound",Presentation,KubeCon EU Paris,3/21/2024,,,https://www.youtube.com/watch?v=sCyCmV0YrKw,
KubeCon Europe 2024 highlights - Live discussion,Guest,Civo,3/29/2024,,,https://www.youtube.com/watch?v=ncHmqUuWe7I,
Choose Your Own Adventure: The Perilous Passage to Production,Presentation,Cloud Native Rejekts,3/29/2024,,,https://www.youtube.com/watch?v=fEzAkFlGIkc,
Security Showdown: The Overconfident Operator Vs the Nefarious Ne’er-Do-Well | CCOSS + KCD GDL,Presentation,KCD Guadalajara,4/24/2024,,Keynote,https://www.youtube.com/watch?v=I5l87LgYz9M,
How to Platform Engineering “Well” for Target “Communities” | Ep 108,Guest,Cloud Native Podcast,5/30/2024,,,https://www.youtube.com/watch?v=3gv8eKeOIlI,
Victor Farcic & Whitney Lee - Choose Your Own Adventure: The Struggle for Security,Presentation,KCD Zurich,6/24/2024,,,https://www.youtube.com/watch?v=sXbH-CPL4f0,
"2024 Day 1 Keynote - Whitney Lee - Transformative Journeys, for Apps and for Humans!",Presentation,DevOps Days Austin,5/5/2024,,Keynote,https://www.youtube.com/watch?v=qYAofVa3W1E,
Choose Your Own Adventure: The Struggle for Security,Presentation,KCD Munich,8/28/2024,,Keynote,https://www.youtube.com/watch?v=3lIUPHQ33GM,
Choose Your Own Adventure: The Struggle for Security | 选择你的冒险：安全之战 - Whitney Lee & Viktor Farcic,Presentation,KubeCon China Hong Kong,9/4/2024,,,https://www.youtube.com/watch?v=omskaA5i9ig,
"CNCF Ambassador Series 01 | DevOps Toolkit ""You Choose"" Observability with Whitney and Viktor",Guest,Cloud Native Podcast,9/4/2024,,,https://www.youtube.com/watch?v=7FsGO0bEXWc,
Choose Your Own Adventure: The Struggle for Security - Whitney Lee & Viktor Farcic,Presentation,KubeDay Japan,9/12/2024,,,https://www.youtube.com/watch?v=SdaHy60OcWs,
Software Defined Interviews Episode 83: Whitney Lee,Podcast,Software Defined Interviews,10/2/2024,,,https://www.youtube.com/watch?v=Ks_bK94A5uA,
