Name,Type,Show,Date,Location,Confirmed,Link,Micro.blog URL
"Software Development Superstream: Becoming a Senior Software Engineer",Presentations,O'Reilly,3/23/2022,,,https://www.oreilly.com/live-events/software-development-superstream-becoming-a-senior-software-engineer/0636920068510/0636920068509/,
"Live Diagramming of Knative Core Concepts",Presentations,SpringOne Tour,4/26/2022,,,,
"Live Diagramming of Knative Core Concepts",Presentations,Devoxx UK,5/18/2022,,,https://youtu.be/a3rIuPatyvs,
"Codezillas: The Universal Truths of Building Trust",Presentations,Devoxx UK,5/18/2022,,,https://youtu.be/WTcp8Up09Jo,
"Codezillas: The Universal Truths of Building Trust",Presentations,NDC Copenhagen,5/29/2022,,,https://youtu.be/6vBj6j6t4ag,
"Codezillas",Presentations,WeAreDevelopers World Congress,6/14/2022,,,,
"Who Should Use Kubernetes?",Presentations,SpringOne Tour,6/28/2022,,,,
"Who Should Use Kubernetes?",Presentations,SpringOne Tour,7/12/2022,,,,
"Who Should Use Kubernetes?",Presentations,London Java Community,8/3/2022,,,https://youtu.be/5e8NR9LebWY,
"Knative Overview",Presentations,VMware Explore,8/29/2022,,,,
"Charting Your Course Through the Kubernetes Landscape",Presentations,DeveloperWeek Cloud,9/7/2022,,,,
"Who Should Use Kubernetes?",Presentations,Deserted Island DevOps,9/14/2022,,,https://youtu.be/KgM1rve4N0g,
"VMware's Inspirational Women: Spotlight on Whitney Lee",Guest,VMware Open Source Blog,10/20/2022,,,https://blogs.vmware.com/opensource/2022/10/20/inspirational-women-in-open-source-spotlight-on-whitney-lee/,
"Who Should Use Kubernetes?",Presentations,SpringOne Tour,12/4/2022,,,
