Name,Type,Show,Date,Location,Confirmed,Link,Micro.blog URL
TGI Kubernetes 184: kpack,NEEDS_REVIEW,Presentations & Guest Appearances,2/5/2022,,,https://www.youtube.com/watch?v=ShE_j4V_2iQ,
"The Past, Present and Future of the Knative Community",NEEDS_REVIEW,Presentations & Guest Appearances,5/19/2022,,,https://www.youtube.com/watch?v=W5tEOTmHkEQ,
Charting Your Own Course Through the Cloud Native Landscape - Matty Stratton & Whitney Lee,NEEDS_REVIEW,Presentations & Guest Appearances,6/1/2022,,,https://www.youtube.com/watch?v=dzcij4jDNbs,
Serverless On Kubernetes - Ask Me Anything,NEEDS_REVIEW,Presentations & Guest Appearances,7/29/2022,,,https://www.youtube.com/watch?v=Nv1qWibfsSw,
Who Should Use Kubernetes? - Whitney Lee,NEEDS_REVIEW,Presentations & Guest Appearances,9/28/2022,,,https://www.youtube.com/watch?v=KgM1rve4N0g,
"Lightning Talk: Tales from the Road: The Questions Being Asked About Knative - Whitney Lee, VMware",NEEDS_REVIEW,Presentations & Guest Appearances,10/28/2022,,,https://www.youtube.com/watch?v=wJa8XKiYcqI,
Live diagramming of knative core concepts,NEEDS_REVIEW,Presentations & Guest Appearances,11/6/2022,,,https://www.youtube.com/watch?v=1FgAEuyWzNQ,
Keynote: What a RUSH! Let’s Deploy Straight to Production! - Whitney Lee & Mauricio Salatino,NEEDS_REVIEW,Presentations & Guest Appearances,11/12/2022,,,https://www.youtube.com/watch?v=eJG7uIU9NpM,
Kubernetes with no YAML and no Dockerfile! How do I get that!?,NEEDS_REVIEW,Presentations & Guest Appearances,1/14/2023,,,https://www.youtube.com/watch?v=FuZ39CRrzIE,
Building Internal Developer Platforms (IDPs) with Crossplane and Flux | ft. Viktor Farcic,NEEDS_REVIEW,Presentations & Guest Appearances,3/9/2023,,,https://www.youtube.com/watch?v=jIVMJ0NbqtE,
Who Should Use Kubernetes?,NEEDS_REVIEW,Presentations & Guest Appearances,4/12/2023,,,https://www.youtube.com/watch?v=ed5zYmf-hYw,
DevOps Speakeasy with Whitney Lee @wiggitywhitney,NEEDS_REVIEW,Presentations & Guest Appearances,4/13/2023,,,https://www.youtube.com/watch?v=kHNp3MtC7XQ,
DOP 208: KubeCon EU 2023 Review,NEEDS_REVIEW,Presentations & Guest Appearances,4/26/2023,,,https://www.youtube.com/watch?v=fY4cfKjY1nU,
Choose Your Own Adventure: The Treacherous Trek to Development - Whitney Lee & Viktor Farcic,NEEDS_REVIEW,Presentations & Guest Appearances,5/1/2023,,,https://www.youtube.com/watch?v=gZdEvlW-XHY,
“You Choose” Chapter 1 Recap  with Whitney Lee! | Ep 75 | #womensincloudnative,NEEDS_REVIEW,Presentations & Guest Appearances,5/11/2023,,,https://www.youtube.com/watch?v=pymXq0SDaA4,
How To Fight Misconfiguration & Bad Intentions With K8s Validating Admission Policy & Crossplane,NEEDS_REVIEW,Presentations & Guest Appearances,5/11/2023,,,https://www.youtube.com/watch?v=B8f_b8pkBGw,
Devnexus 2023 - Live Diagramming of Knative - Core Concepts - Whitney Lee,NEEDS_REVIEW,Presentations & Guest Appearances,5/15/2023,,,https://www.youtube.com/watch?v=zoAG1oatOS0,
The Treacherous Trek to Development • Whitney Lee & Viktor Farcic • GOTO 2023,NEEDS_REVIEW,Presentations & Guest Appearances,6/29/2023,,,https://www.youtube.com/watch?v=vsW8TFjNbpE,
An Overview of Authority to Operate (ATO) and Compliance,NEEDS_REVIEW,Presentations & Guest Appearances,9/27/2023,,,https://www.youtube.com/watch?v=elQwuo3m7u4,
Open Source Connect  Bangladesh : Session 8 with Whitney Lee,NEEDS_REVIEW,Presentations & Guest Appearances,10/12/2023,,,https://www.youtube.com/watch?v=Rbm9dDpUO_k,
Keynote: Choose Your Own Adventure: The Perilous Passage to Production - Whitney Lee & Viktor Farcic,NEEDS_REVIEW,Presentations & Guest Appearances,10/17/2023,,,https://www.youtube.com/watch?v=RMTgMKpsAws,
What a Rush! Let's Deploy Straight to Production,NEEDS_REVIEW,Presentations & Guest Appearances,10/27/2023,,,https://www.youtube.com/watch?v=quBo0P5K7OA,
"Lightning Talk: Secret Word of the Day: Platforms! - Whitney Lee, VMware",NEEDS_REVIEW,Presentations & Guest Appearances,11/13/2023,,,https://www.youtube.com/watch?v=HsOnpRfMa4U,
DOP 237: KubeCon North America 2023 Review,NEEDS_REVIEW,Presentations & Guest Appearances,11/15/2023,,,https://www.youtube.com/watch?v=0kzKMoJSdMc,
Security Showdown: The Overconfident Operator Vs the Nefarious N... Whitney Lee & Lewis Denham-Parry,NEEDS_REVIEW,Presentations & Guest Appearances,11/22/2023,,,https://www.youtube.com/watch?v=Y1rJY_UlLmM,
Humans of Cloud Native Panel – Finding Your Way in #TeamCloudNative,NEEDS_REVIEW,Presentations & Guest Appearances,11/22/2023,,,https://www.youtube.com/watch?v=cMwjUbDh4Ig,
Choose Your Own Adventure: The Perilous Passage to Production,NEEDS_REVIEW,Presentations & Guest Appearances,12/11/2023,,,https://www.youtube.com/watch?v=3P33bFK87gw,
