Name,Type,Show,Date,Location,Confirmed,Link,Micro.blog URL
Software Defined Interviews Episode 83: Whitney Lee,Podcast,Software Defined Interviews,10/2/2024,,,https://www.softwaredefinedinterviews.com/83,
"Episode 84: Tech recruiting from both sides of the table, with Sidney Miller",Podcast,Software Defined Interviews,10/19/2024,,,https://www.softwaredefinedinterviews.com/84,
"Software Defined Interviews Episode 85: Kubernetes Cost Controls and Washing Horse Blankets, with Phil Andrews",Podcast,Software Defined Interviews,10/31/2024,,,https://www.softwaredefinedinterviews.com/85,
"Software Defined Interviews Episode 86: Open Source Money Ethics, How Analysts use AI, What Even is an Industry Analyst, and Advanced Chicken Nugget Diplomacy, with Rachel Stephens",Podcast,Software Defined Interviews,11/13/2024,,,https://www.softwaredefinedinterviews.com/86,
"Software Defined Interviews Episode 87: Platform Engineering, AI, and Community - Whitney&#39;s KubeCon NA 2024 Adventures",Podcast,Software Defined Interviews,11/25/2024,,,https://www.softwaredefinedinterviews.com/87,
"Software Defined Interviews Episode 88: Platform Engineering and UK Digital People, with Abby Bangser",Podcast,Software Defined Interviews,11/28/2024,,,https://www.softwaredefinedinterviews.com/88,
"Software Defined Interviews Episode 89: How platform engineering is different than DevOps, plus, narwhal teeth and spider digestion, with Viktor Farcic",Podcast,Software Defined Interviews,12/11/2024,,,https://www.softwaredefinedinterviews.com/89,
"Software Defined Interviews Episode 90: Community management, event nightmares, and domestic Tupperware diplomacy, with Katie Greenley",Podcast,Software Defined Interviews,12/26/2024,,,https://www.softwaredefinedinterviews.com/90,
"Software Defined Interviews Episode 91: Learning to learn, with Sasha Czarkowski",Podcast,Software Defined Interviews,1/9/2025,,,https://www.softwaredefinedinterviews.com/91,
"Software Defined Interviews Episode 92: What went wrong with PaaS, and many other topics with Brian Gracely",Podcast,Software Defined Interviews,1/23/2025,,,https://www.softwaredefinedinterviews.com/92,
"Software Defined Interviews Episode 93: 10x People, AI Trends, and Career Management, with Richard Seroter",Podcast,Software Defined Interviews,2/6/2025,,,https://www.softwaredefinedinterviews.com/93,
"Software Defined Interviews Episode 94: Adding more condiments to the 7 layer networking burrito, with Marino Wijay",Podcast,Software Defined Interviews,2/20/2025,,,https://www.softwaredefinedinterviews.com/94,
"Software Defined Interviews Episode 95: Success in Tech, Content Creation, &amp; Corporate Influence, with Hazel Weakly",Podcast,Software Defined Interviews,3/6/2025,,,https://www.softwaredefinedinterviews.com/95,
"Software Defined Interviews Episode 96: Learning, teaching, tech certifications, and napkin culture in Singapore, with Mumshad Mannambeth",Podcast,Software Defined Interviews,3/22/2025,,,https://www.softwaredefinedinterviews.com/96,
"Software Defined Interviews Episode 97: The Business and Ethics of Open Source, with Emily Omier",Podcast,Software Defined Interviews,4/2/2025,,,https://www.softwaredefinedinterviews.com/97,
"Software Defined Interviews Episode 98: From OpenStack to Kubernetes, extreme transparency at GitLab, tech startup marketing, with Melissa Smolensky",Podcast,Software Defined Interviews,4/16/2025,,,https://www.softwaredefinedinterviews.com/98,
"Software Defined Interviews Episode 99: Catering to Startups, with Robert Reeves",Podcast,Software Defined Interviews,5/1/2025,,,https://www.softwaredefinedinterviews.com/99,
"Software Defined Interviews Episode 100: &quot;I used to eat 7-Eleven pizza,&quot; startups, open source, and more, with Sarah Christoff",Podcast,Software Defined Interviews,5/14/2025,,,https://www.softwaredefinedinterviews.com/100,
"Software Defined Interviews Episode 101: A Passion for Politics, with Taegan Goddard",Podcast,Software Defined Interviews,5/29/2025,,,https://www.softwaredefinedinterviews.com/101,
"Software Defined Interviews Episode 102: The brilliant dummy in my pocket, with WhitneyGPT",Podcast,Software Defined Interviews,6/11/2025,,,https://www.softwaredefinedinterviews.com/102,
"Software Defined Interviews Episode 103: AI &amp; Critical Thinking, Enterprise Marketing, and the Workplace, with Betty Junod",Podcast,Software Defined Interviews,6/25/2025,,,https://www.softwaredefinedinterviews.com/103,
"Software Defined Interviews Episode 104: Exam Creation, Open Source, and Hospice Care, with AmyJune Hineline",Podcast,Software Defined Interviews,7/9/2025,,,https://www.softwaredefinedinterviews.com/104,
"Software Defined Interviews Episode 105: Cords, Cyborgs &amp; Cold Cases: Grandpa Dancy’s Operating System for Life",Podcast,Software Defined Interviews,7/24/2025,,,https://www.softwaredefinedinterviews.com/105,
"Software Defined Interviews Episode 106: Communications Skills, Ultrarunning, and Whacky YouTube Thumbnails, with James Eastham",Podcast,Software Defined Interviews,8/6/2025,,,https://www.softwaredefinedinterviews.com/106,
"Software Defined Interviews Episode 107: The business value of developer relations, devrel history, plus more stuff, with Mary Thengvall",Podcast,Software Defined Interviews,8/20/2025,,,https://www.softwaredefinedinterviews.com/107,
"Software Defined Interviews Episode 108: Venture Capital, AI, and Horses, with Rachel Chalmers",Podcast,Software Defined Interviews,9/6/2025,,,https://www.softwaredefinedinterviews.com/108,
"Software Defined Interviews Episode 109: Everyday AI and AI Everyday, with Hannah Foxwell",Podcast,Software Defined Interviews,9/17/2025,,,https://www.softwaredefinedinterviews.com/109,
"Software Defined Interviews Episode 110: Cows, Tech Careers, Working at Microsoft, and Even More About Cows, with Saad Ansari",Podcast,Software Defined Interviews,9/29/2025,,,https://www.softwaredefinedinterviews.com/110,
"Software Defined Interviews Episode 111: The uncontrollable urge to click &quot;publish,&quot; with Manton Reece",Podcast,Software Defined Interviews,10/15/2025,,,https://www.softwaredefinedinterviews.com/111,
