Name,Type,Show,Date,Location,Confirmed,Link,Micro.blog URL
Tanzu Tuesdays 67 - Let's talk about SpringOne 2021!,Video,Tanzu Tuesdays,9/15/2021,,,https://www.youtube.com/watch?v=EQMg0DuC1tY,
Tanzu Tuesdays 68 - Azure Functions: a guide to getting started with Layla Porter,Video,Tanzu Tuesdays,9/15/2021,,,https://www.youtube.com/watch?v=EU2mtSSga54,
Tanzu Tuesdays 74 - Carvel support in Kubeapps - New pluggable gRPC-based architecture,Video,Tanzu Tuesdays,12/7/2021,,,https://www.youtube.com/watch?v=rS2AhcIPQEs,
Tanzu Tuesdays 77: Leveraging Backstage for the Tanzu Application Platform GUI with Kris Applegate,Video,Tanzu Tuesdays,12/15/2021,,,https://www.youtube.com/watch?v=E4KvQi-kmbg,
Tanzu Tuesdays 82: Building Production Ready Container Images at Scale with Cora Iberkleid,Video,Tanzu Tuesdays,1/25/2022,,,https://www.youtube.com/watch?v=QTmix5yLq9A,
Tanzu Tuesdays 83: Testing with Spring and JUnit 5 with Sam Brannen,Video,Tanzu Tuesdays,2/2/2022,,,https://www.youtube.com/watch?v=krA-A2HqWFQ,
Tanzu Tuesdays 84: Tanzu Application Platform Overview and Impressions with Scott Rosenberg,Video,Tanzu Tuesdays,2/9/2022,,,https://www.youtube.com/watch?v=P3cw4omhbjA,
Tanzu Tuesdays 85: Tinkering While Talking Tanzu - Thoughts on Uptime,Video,Tanzu Tuesdays,2/16/2022,,,https://www.youtube.com/watch?v=xDKtryAx0ps,
Tanzu Tuesdays 86: Carvel packaging as a unified package manager for Kubernetes with Scott Rosenberg,Video,Tanzu Tuesdays,2/22/2022,,,https://www.youtube.com/watch?v=FiNK9hxDJTU,
Tanzu Tuesdays 87: Supply Chain Choreography with Cartographer,Video,Tanzu Tuesdays,3/1/2022,,,https://www.youtube.com/watch?v=Qr-DO0E9R1Y,
Tanzu Tuesdays 79: Secure Production with Spring Authorization Server and SPIFFE/SPIRE w/Joe Grandja,Video,Tanzu Tuesdays,3/2/2022,,,https://www.youtube.com/watch?v=LXyz36bbxMM,
