Name,Type,Show,Date,Location,Confirmed,Link,Micro.blog URL
"The Adventure Begins (You Choose! Ch. 1, Ep. 0)",Video,You Choose!,2/2/2023,,,https://www.youtube.com/watch?v=JfXidOXa7As,
"Build Container Image - Feat. Carvel kbld, Buildpacks, and Lima (You Choose!, Ch. 1, Ep. 1)",Video,You Choose!,2/9/2023,,,https://www.youtube.com/watch?v=GDInFocQJTU,
"Store Image in a Registry - Feat. Harbor, Docker Hub, and Dragonfly (You Choose!, Ch. 1, Ep. 2)",Video,You Choose!,2/15/2023,,,https://www.youtube.com/watch?v=QP8xGYwevKo,
"Define And Deploy Apps - Feat. Helm, Kustomize, Carvel ytt, and cdk8s (You Choose!, Ch. 1, Ep. 3)",Video,You Choose!,2/22/2023,,,https://www.youtube.com/watch?v=QwU3JmjyKoM,
"Use HTTPS - Feat. cert-manager (You Choose!, Ch. 1, Ep. 4)",Video,You Choose!,3/1/2023,,,https://www.youtube.com/watch?v=sSbe6qedElE,
"Setup PostgreSQL DB In The Dev Environment - Feat. Helm And Crossplane (You Choose!, Ch. 1, Ep. 5)",Video,You Choose!,3/8/2023,,,https://www.youtube.com/watch?v=ITBPHJBbjPY,
"Manage DB Schema - Feat. SchemaHero And Liquibase (You Choose!, Ch. 1, Ep. 6)",Video,You Choose!,3/14/2023,,,https://www.youtube.com/watch?v=6YW2__HUHxw,
"Develop Apps - Feat. Telepresence, DevSpace, Nocalhost, And Devfile (You Choose!, Ch. 1, Ep. 7)",Video,You Choose!,3/22/2023,,,https://www.youtube.com/watch?v=YqmLIh31VH0,
"Development Finale - Feat. Everyone (You Choose!, Ch. 1, Ep. 8)",Video,You Choose!,3/29/2023,,,https://www.youtube.com/watch?v=SV1uu4h0vuQ,
"The Adventure  Continues Towards Production (You Choose! Ch. 2, Ep. 0)",Video,You Choose!,7/12/2023,,,https://www.youtube.com/watch?v=KyRTsyQuOMY,
"Provision a Production Cluster - Feat. Crossplane And Cluster API (You Choose!, Ch. 2, Ep. 1)",Video,You Choose!,7/19/2023,,,https://www.youtube.com/watch?v=lzBWIhYC5_E,
"GitOps - Feat. Flux, Argo CD, and kapp-controller (You Choose!, Ch. 2, Ep. 2)",Video,You Choose!,7/26/2023,,,https://www.youtube.com/watch?v=4tRYJ0mZf5A,
"Ingress - Feat. Contour, NGINX Ingress, and Emissary-ingress (You Choose!, Ch. 2, Ep. 3)",Video,You Choose!,8/2/2023,,,https://www.youtube.com/watch?v=aAyRJy4Gzag,
"Deploy to Production & Database Implementation (You Choose!, Ch. 2, Ep. 4)",Video,You Choose!,8/9/2023,,,https://www.youtube.com/watch?v=Hw8sSBO3YhI,
