Name,Type,Show,Date,Location,Confirmed,Link,Micro.blog URL
"The Adventure Begins (You Choose! Ch. 1, Ep. 0)",Video,You Choose!,2/2/2023,,,https://www.youtube.com/watch?v=JfXidOXa7As,
"Build Container Image - Feat. Carvel kbld, Buildpacks, and Lima (You Choose!, Ch. 1, Ep. 1)",Video,You Choose!,2/9/2023,,,https://www.youtube.com/watch?v=GDInFocQJTU,
"Store Image in a Registry - Feat. Harbor, Docker Hub, and Dragonfly (You Choose!, Ch. 1, Ep. 2)",Video,You Choose!,2/15/2023,,,https://www.youtube.com/watch?v=QP8xGYwevKo,
"Define And Deploy Apps - Feat. Helm, Kustomize, Carvel ytt, and cdk8s (You Choose!, Ch. 1, Ep. 3)",Video,You Choose!,2/22/2023,,,https://www.youtube.com/watch?v=QwU3JmjyKoM,
"Use HTTPS - Feat. cert-manager (You Choose!, Ch. 1, Ep. 4)",Video,You Choose!,3/1/2023,,,https://www.youtube.com/watch?v=sSbe6qedElE,
"Setup PostgreSQL DB In The Dev Environment - Feat. Helm And Crossplane (You Choose!, Ch. 1, Ep. 5)",Video,You Choose!,3/8/2023,,,https://www.youtube.com/watch?v=ITBPHJBbjPY,
"Manage DB Schema - Feat. SchemaHero And Liquibase (You Choose!, Ch. 1, Ep. 6)",Video,You Choose!,3/14/2023,,,https://www.youtube.com/watch?v=6YW2__HUHxw,
"Develop Apps - Feat. Telepresence, DevSpace, Nocalhost, And Devfile (You Choose!, Ch. 1, Ep. 7)",Video,You Choose!,3/22/2023,,,https://www.youtube.com/watch?v=YqmLIh31VH0,
"Development Finale - Feat. Everyone (You Choose!, Ch. 1, Ep. 8)",Video,You Choose!,3/29/2023,,,https://www.youtube.com/watch?v=SV1uu4h0vuQ,
"The Adventure  Continues Towards Production (You Choose! Ch. 2, Ep. 0)",Video,You Choose!,7/12/2023,,,https://www.youtube.com/watch?v=KyRTsyQuOMY,
"Provision a Production Cluster - Feat. Crossplane And Cluster API (You Choose!, Ch. 2, Ep. 1)",Video,You Choose!,7/19/2023,,,https://www.youtube.com/watch?v=lzBWIhYC5_E,
"GitOps - Feat. Flux, Argo CD, and kapp-controller (You Choose!, Ch. 2, Ep. 2)",Video,You Choose!,7/26/2023,,,https://www.youtube.com/watch?v=4tRYJ0mZf5A,
"Ingress - Feat. Contour, NGINX Ingress, and Emissary-ingress (You Choose!, Ch. 2, Ep. 3)",Video,You Choose!,8/2/2023,,,https://www.youtube.com/watch?v=aAyRJy4Gzag,
"Deploy to Production & Database Implementation (You Choose!, Ch. 2, Ep. 4)",Video,You Choose!,8/9/2023,,,https://www.youtube.com/watch?v=Hw8sSBO3YhI,
"The Adventure  Continues Towards Security (You Choose! Ch. 3, Ep. 0)",Video,You Choose!,1/4/2024,,,https://www.youtube.com/watch?v=RAPaS91AY1Q,
"Admission Controllers - Feat. Kyverno, OPA, Kubewarden, Cloud Custodian, and VAP (Ch. 3, Ep. 1)",Video,You Choose!,1/10/2024,,,https://www.youtube.com/watch?v=NjFy8IfoKco,
"Runtime Policies - Feat. KubeArmor and Falco (You Choose!, Ch. 3, Ep. 2)",Video,You Choose!,1/17/2024,,,https://www.youtube.com/watch?v=ZSNX10soFPw,
"Secrets Management - Feat. ESO, SSCSID, Teller, and SOPS (You Choose!, Ch. 3, Ep. 3)",Video,You Choose!,1/24/2024,,,https://www.youtube.com/watch?v=rpNFuT4TCQY,
"mTLS and Network Policies - Feat. Istio, Linkerd, Cilium, Kuma, and NSM (You Choose!, Ch. 3, Ep. 4)",Video,You Choose!,1/31/2024,,,https://www.youtube.com/watch?v=zaXhEGrS4Z8,
"Kubernetes Scanning - Feat. Kubescape and Snyk (You Choose!, Ch. 3, Ep. 5)",Video,You Choose!,2/7/2024,,,https://www.youtube.com/watch?v=vNcPi1YgZtc,
"Signing Artifacts - Feat. Notary, Sigstore, and Open Policy Containers (You Choose!, Ch. 3, Ep. 6)",Video,You Choose!,2/14/2024,,,https://www.youtube.com/watch?v=p4M-ZdBsA7o,
"Workload Identity - Feat. SPIFFE, SPIRE, and Athenz (You Choose!, Ch. 3, Ep. 7)",Video,You Choose!,2/21/2024,,,https://www.youtube.com/watch?v=gYq591U8Dac,
"Authenticating Users - Feat. Dex and Keycloak (You Choose!, Ch. 3, Ep. 8)",Video,You Choose!,2/28/2024,,,https://www.youtube.com/watch?v=_CYiksI_89E,
"Authorizing Access - Feat. Hexa, Paralus, and OpenFGA (You Choose!, Ch. 3, Ep. 9)",Video,You Choose!,3/6/2024,,,https://www.youtube.com/watch?v=VyHbFwfrf04,
"Misfits - Feat. ContainerSSH and Confidential Containers (You Choose!, Ch. 3, Ep. 10)",Video,You Choose!,3/13/2024,,,https://www.youtube.com/watch?v=AKmDmhd5hpQ,
"Grand Finale - End to End Demo of the Chosen Tech (You Choose!, Ch. 3, Ep. 11)",Video,You Choose!,4/2/2024,,,https://www.youtube.com/watch?v=7-3dVxmG9qs,
"The Observability Odyssey (You Choose! Ch. 4, Ep. 0)",Video,You Choose!,8/29/2024,,,https://www.youtube.com/watch?v=_sVIxEksR1M,
"Dashboards - Feat. Kubernetes Dashboard, Headlamp, Meshery (You Choose!, Ch. 4, Ep. 01)",Video,You Choose!,9/4/2024,,,https://www.youtube.com/watch?v=GhfRu3l4F8U,
"Open Standards - Feat. OpenTelemetry, Prometheus (You Choose!, Ch. 4, Ep. 02)",Video,You Choose!,9/18/2024,,,https://www.youtube.com/watch?v=zvPwvm7X6AY,
"Observability Metrics - Feat. Prometheus, Cortex, and Thanos (You Choose!, Ch. 4, Ep. 03)",Video,You Choose!,9/25/2024,,,https://www.youtube.com/watch?v=UXC9w3R9k8M,
"Tracing - Feat. Jaeger and Zipkin (You Choose!, Ch. 04, Ep. 04)",Video,You Choose!,10/2/2024,,,https://www.youtube.com/watch?v=mkL2hLwsxm4,
"Data Pipelines - Feat. Fluent Bit, Otel Collector, Logging Operator (You Choose!, Ch. 04, Ep. 05)",Video,You Choose!,10/9/2024,,,https://www.youtube.com/watch?v=fhIuylaJ1xA,
"Progressive Delivery - Feat. Argo Rollouts and Flagger (You Choose!, Ch. 04, Ep. 06)",Video,You Choose!,10/16/2024,,,https://www.youtube.com/watch?v=iXdZY9BpUjU,
"Cloud Cost - Feat. OpenCost, StormForge, and CAST AI (You Choose!, Ch. 04, Ep. 07)",Video,You Choose!,10/23/2024,,,https://www.youtube.com/watch?v=5P_6vlmjQm4,
"Service Mesh - Feat. Cilium, Istio, Linkerd, and Kuma (You Choose!, Ch. 04, Ep. 08)",Video,You Choose!,10/30/2024,,,https://www.youtube.com/watch?v=g-tHbIcFYTM,
"Misc - Feat. Kepler, Inspektor Gadget, k8sgpt, Perses, and Pixie (You Choose!, Ch. 04, Ep. 09)",Video,You Choose!,11/6/2024,,,https://www.youtube.com/watch?v=OZE1hoT9-gs,
"Grand Finale - End to End Demo of the Observability Chosen Tech (You Choose!, Ch. 4, Ep. 10)",Video,You Choose!,11/22/2024,,,https://www.youtube.com/watch?v=EpbT-kfD6kw,
"Internal Developer Platforms Intro (You Choose! Ch. 5, Ep. 0)",Video,You Choose!,1/22/2025,,,https://www.youtube.com/watch?v=j2edgNGdM1o,
"API & State Management - Feat. Crossplane, KubeVela, & Kratix (You Choose!, Ch. 05, Ep. 01)",Video,You Choose!,1/29/2025,,,https://www.youtube.com/watch?v=_4Zd8yTSfOw,
"Policies & State Synchronization (GitOps) - Feat. Kyverno & Argo CD (You Choose!, Ch. 05, Ep. 02)",Video,You Choose!,2/5/2025,,,https://www.youtube.com/watch?v=mWbOpe4CktY,
"One-Shot Actions (CI) - Feat. GitHub Actions, Argo Workflows, Tekton (You Choose!, Ch. 05, Ep. 03)",Video,You Choose!,2/12/2025,,,https://www.youtube.com/watch?v=6gQjnvzS5Bc,
"Graphical User Interface - Feat. Backstage and Port (You Choose!, Ch. 05, Ep. 04)",Video,You Choose!,2/19/2025,,,https://www.youtube.com/watch?v=YTfKt3pkx10,
"Specialized Templating - Feat. Porter, Werf, Radius, Score, PipeCD (You Choose!, Ch. 05, Ep. 05)",Video,You Choose!,2/26/2025,,,https://www.youtube.com/watch?v=TEZVeWsirsw,
"Miscellaneous - Feat. Dapr, KusionStack, and OpenFeature (You Choose!, Ch. 05, Ep. 06)",Video,You Choose!,3/5/2025,,,https://www.youtube.com/watch?v=e2aHoiKH5Jk,
"Season Finale of The Dignified Pursuit of a Developer Platform (You Choose!, Ch. 05, Ep. 07)",Video,You Choose!,3/26/2025,,,https://www.youtube.com/watch?v=QUw-w_SZma4,
